image,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y,real_width_mm,real_depth_mm,bev_w,bev_h
20260530_230110_jpg.rf.c333d711d6a5e63ca8077f47d35b50fe.jpg,471,7,2626,-2,5966,2904,-1940,2870,4160,5000,600,721
20260618_225217_jpg.rf.857363fe800cf4869060af9f3ea787ea.jpg,1608,16,5042,36,8973,3878,-2881,3977,4870,5000,600,616
20260618_225227_jpg.rf.b43f9e030c2d29565e2d1ecc6d0f81d7.jpg,1031,26,4644,16,8924,3957,-2831,3878,4870,5000,600,616
20260618_225236_jpg.rf.7f7263bfb5880c195550cb7eed55bcea.jpg,1130,-4,4853,16,9023,3957,-2990,3937,4870,5000,600,616
20260618_225503_jpg.rf.d968bd53bfc2c5c62106284b9f5f92c5.jpg,1947,-4,4763,26,9013,3957,-2771,3957,4870,5000,600,616
20260618_225512_jpg.rf.ca49ac39b57d1cb71fa3078cf14e8f71.jpg,2136,16,5261,16,9083,3927,-2881,3927,4870,5000,600,616
20260618_225549_jpg.rf.12e6562f569258c4f1098a42184232a8.jpg,1479,16,4256,26,8516,3887,-2682,3957,4870,5000,600,616
20260618_225559_jpg.rf.eda56ecfc1607b53d57ca4bf8112c729.jpg,1917,26,4982,26,8914,3957,-2642,4007,4870,5000,600,616
20260618_230027_jpg.rf.f93f97700f0d69e237aef96466176afd.jpg,1758,16,4186,26,7978,3977,36,3937,3100,5000,600,968
20260618_230038_jpg.rf.e4c67ae93deb149989607f68a80becf5.jpg,1728,26,4136,16,7928,3947,-313,3977,3100,5000,600,968
20260618_230322_jpg.rf.305e82cac9865d46ee547dc7daab552e.jpg,1857,26,4216,-4,6913,3937,-1368,3927,3100,5000,600,968
20260618_230421_jpg.rf.c19dd483140b2e96d27a069f928a6a8a.jpg,1668,6,3619,6,7082,3927,-691,3937,3100,5000,600,968
20260618_230430_jpg.rf.8dc59cb7bd638836b3c81ac5737826b9.jpg,2166,26,3808,16,7033,3868,-343,3997,3100,5000,600,968
20260618_230438_jpg.rf.9c614a5df57b85c2771fef3294de6379.jpg,2195,16,3848,16,7023,3937,-631,3947,3100,5000,600,968
20260618_230725_jpg.rf.1b5645798d2cb5958a3c418a2ed656cb.jpg,1807,16,3509,16,6754,3897,-1417,3897,3100,5000,600,968
20260618_230735_jpg.rf.c5ed887e9ff106c7e077fec116c3a0e6.jpg,1877,16,3997,36,6903,3917,-1228,3957,3100,5000,600,968
20260618_230740_jpg.rf.dbeb8192ef92105c14a203567fd6f603.jpg,2086,16,3957,36,6117,3917,-1447,3947,3100,5000,600,968
20260618_230754_jpg.rf.954103b5fc4ed821433ceb8fa35e94c3.jpg,1210,26,3878,26,6565,3937,-1726,3977,3100,5000,600,968
20260618_230810_jpg.rf.402577c98ef1e90e4c64ca1ce305fa7f.jpg,1628,6,3967,36,6505,3957,-1597,3987,3100,5000,600,968
IMG_20260620_231514_jpg.rf.d8f2dba5b7bb930b69e21d554f2ec1d1.jpg,505,12,3090,31,6339,3469,-2896,3479,4870,5000,600,616
IMG_20260620_231609_jpg.rf.8a98294ab15f84b52137b93af4baff89.jpg,419,3,3081,12,6150,3469,-2953,3479,4870,5000,600,616
IMG_20260620_232037_jpg.rf.9157987a21d38cc3a976f12cd08c64c4.jpg,533,12,2948,-7,6126,3471,-2988,3451,4870,5000,600,616
IMG_20260620_232054_jpg.rf.edff08c8fe16904ee7217c3485f8c90e.jpg,647,12,2901,3,6302,3479,-3019,3460,4870,5000,600,616
IMG_20260620_232106_jpg.rf.67dbc8bd58d04b92b66fde7b97620a9f.jpg,457,12,3176,12,6387,3450,-2953,3460,4870,5000,600,616
IMG_20260620_232133_jpg.rf.7c9837e258d867fde9cf7858a3244603.jpg,448,50,2929,12,6425,3422,-3019,3507,4870,5000,600,616
IMG_20260620_232406_jpg.rf.c438f963ae3308c642c08a182c0d9819.jpg,315,31,3015,3,6358,3488,-2972,3479,4870,5000,600,616
20260530_230139_jpg.rf.f76819b6dcef67cc8bf96bb9a20afafc.jpg,594,-1,2726,1,5744,2879,-2926,2868,4160,5000,600,721
20260530_230220_jpg.rf.b843cbe711a813e0cb3e0bbc5c3c7678.jpg,450,13,2553,13,5472,2863,-2023,2845,4160,5000,600,721
20260530_230234_jpg.rf.52c925799ac83e5e64d532a55a5b199b.jpg,400,5,2630,5,5835,2912,-2293,2885,4160,5000,600,721
20260530_230237_jpg.rf.6689bcbdb413e8969f071f4248b414fc.jpg,325,35,2544,19,5909,2894,-2059,2862,4160,5000,600,721
20260530_230319_jpg.rf.f5002f9ca8aaa15d38e77773db340308.jpg,491,21,2651,10,5909,2853,-2101,2917,4160,5000,600,721
20260530_230340_jpg.rf.8b8045ebaee88f498ab0bd522eb1f88d.jpg,519,21,2682,17,5865,2871,-1763,2884,4160,5000,600,721
20260530_230527_jpg.rf.2adcb905b1031488385398a7560f13c7.jpg,501,5,2730,5,5968,2895,-2150,2885,4160,5000,600,721
20260530_230554_jpg.rf.1fed4a90d219baeb3165e7bf6668ea4f.jpg,588,7,2716,1,5873,2876,-2116,2860,4160,5000,600,721
20260530_230726_jpg.rf.34b42d032683a894c40c48e58e7b2fc5.jpg,384,20,2756,29,5963,2889,-1907,2863,4160,5000,600,721
20260530_230751_jpg.rf.6158b6dc5cf642852d84474528a535d3.jpg,106,18,2546,6,5977,2937,-2506,2852,4160,5000,600,721
20260530_231022_jpg.rf.3f0849d32f744808d0addd5837125431.jpg,271,9,2639,15,5983,2911,-1596,2868,4160,5000,600,721
20260530_231035_jpg.rf.ba940a2fef7318312840e3c208ab73e8.jpg,240,25,2544,9,5760,2895,-1483,2884,4160,5000,600,721
20260530_231055_jpg.rf.75f7bf1764eeef77816d4981ae684e91.jpg,243,4,2606,20,5939,2878,-1506,2857,4160,5000,600,721
